"","Specimen.date","Daily.lab.confirmed.cases"
"37916",2020-01-30,2
"37915",2020-01-31,0
"37902",2020-02-03,6
"37898",2020-02-05,1
"37892",2020-02-08,4
"37888",2020-02-09,1
"37884",2020-02-11,1
"37880",2020-02-12,1
"37876",2020-02-13,1
"37875",2020-02-14,1
"37871",2020-02-17,1
"37867",2020-02-19,1
"37863",2020-02-21,1
"37851",2020-02-23,4
"37847",2020-02-24,1
"37837",2020-02-25,4
"37833",2020-02-26,3
"37819",2020-02-27,6
"37790",2020-02-28,12
"37780",2020-02-29,4
"37720",2020-03-01,31
"37660",2020-03-02,39
"37581",2020-03-03,52
"37500",2020-03-04,49
"37423",2020-03-05,47
"37320",2020-03-06,73
"37239",2020-03-07,47
"37156",2020-03-08,50
"37009",2020-03-09,124
"36802",2020-03-10,223
"36574",2020-03-11,354
"36304",2020-03-12,413
"36027",2020-03-13,392
"35788",2020-03-14,317
"35522",2020-03-15,397
"35227",2020-03-16,546
"34907",2020-03-17,679
"34545",2020-03-18,910
"34180",2020-03-19,931
"33789",2020-03-20,1083
"33401",2020-03-21,1034
"33013",2020-03-22,1209
"32574",2020-03-23,2016
"32126",2020-03-24,2021
"31677",2020-03-25,2263
"31216",2020-03-26,2610
"30758",2020-03-27,2658
"30301",2020-03-28,2374
"29844",2020-03-29,2433
"29381",2020-03-30,3493
"28914",2020-03-31,3763
"28445",2020-04-01,4083
"27980",2020-04-02,4009
"27515",2020-04-03,4043
"27053",2020-04-04,3320
"26594",2020-04-05,3028
"26130",2020-04-06,4328
"25666",2020-04-07,4475
"25196",2020-04-08,4227
"24730",2020-04-09,4015
"24265",2020-04-10,3508
"23799",2020-04-11,3000
"23332",2020-04-12,2684
"22865",2020-04-13,3302
"22405",2020-04-14,3413
"21945",2020-04-15,3600
"21478",2020-04-16,3434
"21014",2020-04-17,3419
"20562",2020-04-18,2569
"20115",2020-04-19,2086
"19652",2020-04-20,3074
"19187",2020-04-21,2989
"18724",2020-04-22,2758
"18258",2020-04-23,2767
"17806",2020-04-24,2768
"17366",2020-04-25,1813
"16942",2020-04-26,1405
"16485",2020-04-27,2219
"16028",2020-04-28,2282
"15582",2020-04-29,2349
"15144",2020-04-30,2122
"14697",2020-05-01,1944
"14282",2020-05-02,1239
"13894",2020-05-03,960
"13466",2020-05-04,1617
"13029",2020-05-05,1607
"12625",2020-05-06,1436
"12208",2020-05-07,1447
"11830",2020-05-08,1024
"11459",2020-05-09,891
"11107",2020-05-10,725
"10692",2020-05-11,1247
"10298",2020-05-12,1097
"9913",2020-05-13,1074
"9534",2020-05-14,896
"9167",2020-05-15,904
"8855",2020-05-16,634
"8513",2020-05-17,635
"8140",2020-05-18,942
"7750",2020-05-19,1022
"7399",2020-05-20,826
"7055",2020-05-21,749
"6709",2020-05-22,705
"6440",2020-05-23,453
"6164",2020-05-24,386
"5863",2020-05-25,509
"5549",2020-05-26,543
"5234",2020-05-27,546
"4941",2020-05-28,447
"4652",2020-05-29,435
"4396",2020-05-30,341
"4152",2020-05-31,302
"3875",2020-06-01,446
"3587",2020-06-02,483
"3304",2020-06-03,442
"3048",2020-06-04,314
"2790",2020-06-05,324
"2595",2020-06-06,210
"2396",2020-06-07,201
"2142",2020-06-08,297
"1908",2020-06-09,309
"1635",2020-06-10,365
"1409",2020-06-11,273
"1185",2020-06-12,274
"990",2020-06-13,227
"821",2020-06-14,168
"627",2020-06-15,221
"477",2020-06-16,152
"1",2020-06-17,14
